成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
アスピリン,イブプロフェン,高,出血リスク増加・胃腸障害の悪化,,,
イブプロフェン,ワーファリン,高,出血リスクの大幅増加,,,
イブプロフェン,リチウム,中,リチウム中毒のリスク増加,,,
アセトアミノフェン,ワーファリン,中,出血リスクの軽度増加,,,
アセトアミノフェン,アルコール,中,肝障害のリスク増加,,,
アスピリン,ワーファリン,高,出血リスクの大幅増加,,,
アスピリン,メトトレキサート,高,メトトレキサート中毒のリスク増加,,,
ACE阻害薬,アスピリン,中,腎機能障害のリスク増加,,,
ロキソプロフェン,ワーファリン,高,出血リスクの大幅増加,,,
リチウム,ロキソプロフェン,中,リチウム中毒のリスク増加,,,
ジクロフェナク,ワーファリン,高,出血リスクの大幅増加,,,
ジクロフェナク,リチウム,中,リチウム中毒のリスク増加,,,
エフェドリン,カフェイン,中,動悸・不眠・血圧上昇の増強,,,
カフェイン,リチウム,低,リチウムの効果減弱,,,
MAO阻害薬,エフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
エフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動,,,
エフェドリン,ジゴキシン,中,ジゴキシン中毒のリスク増加,,,
MAO阻害薬,プソイドエフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
プソイドエフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動,,,
ジゴキシン,プソイドエフェドリン,中,ジゴキシン中毒のリスク増加,,,
アルコール,クロルフェニラミン,中,眠気・注意力低下の増強,,,
クロルフェニラミン,ベンゾジアゼピン,中,眠気・注意力低下の増強,,,
オピオイド,クロルフェニラミン,中,呼吸抑制のリスク増加,,,
アルコール,ジフェンヒドラミン,中,眠気・注意力低下の増強,,,
ジフェンヒドラミン,ベンゾジアゼピン,中,眠気・注意力低下の増強,,,
オピオイド,ジフェンヒドラミン,中,呼吸抑制のリスク増加,,,
ケトコナゾール,ロラタジン,中,ロラタジンの血中濃度上昇,,,
ケトコナゾール,セチリジン,中,セチリジンの血中濃度上昇,,,
アルコール,フマル酸ケトチフェン,低,眠気の軽度増強,,,
アルコール,オキサトミド,低,眠気の軽度増強,,,
ベクロメタゾン,ワーファリン,低,出血リスクの軽度増加,,,
フルチカゾン,ワーファリン,低,出血リスクの軽度増加,,,
モメタゾン,ワーファリン,低,出血リスクの軽度増加,,,
MAO阻害薬,オキシメタゾリン,中,血圧上昇のリスク増加,,,
オキシメタゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク,,,
MAO阻害薬,ナファゾリン,中,血圧上昇のリスク増加,,,
ナファゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク,,,
MAO阻害薬,テトラヒドロゾリン,中,血圧上昇のリスク増加,,,
テトラヒドロゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク,,,
MAO阻害薬,トラマドール,高,重篤な副作用・セロトニン症候群のリスク,,,
SSRI,トラマドール,高,セロトニン症候群のリスク増加,,,
SNRI,トラマドール,高,セロトニン症候群のリスク増加,,,
MAO阻害薬,コデイン,高,重篤な副作用・セロトニン症候群のリスク,,,
SSRI,コデイン,高,セロトニン症候群のリスク増加,,,
SNRI,コデイン,高,セロトニン症候群のリスク増加,,,
MAO阻害薬,ジヒドロコデイン,高,重篤な副作用・セロトニン症候群のリスク,,,
SSRI,ジヒドロコデイン,高,セロトニン症候群のリスク増加,,,
SNRI,ジヒドロコデイン,高,セロトニン症候群のリスク増加,,,
MAO阻害薬,デキストロメトルファン,高,重篤な副作用・セロトニン症候群のリスク,,,
SSRI,デキストロメトルファン,中,セロトニン症候群のリスク増加,,,
SNRI,デキストロメトルファン,中,セロトニン症候群のリスク増加,,,
グアイフェネシン,ワーファリン,低,出血リスクの軽度増加,,,
ブロムヘキシン,ワーファリン,低,出血リスクの軽度増加,,,
アンブロキソール,ワーファリン,低,出血リスクの軽度増加,,,
カルボシステイン,ワーファリン,低,出血リスクの軽度増加,,,
アセチルシステイン,ワーファリン,低,出血リスクの軽度増加,,,
MAO阻害薬,メチルエフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
ベータ遮断薬,メチルエフェドリン,中,血圧上昇・心拍数の変動,,,
ジゴキシン,メチルエフェドリン,中,ジゴキシン中毒のリスク増加,,,
MAO阻害薬,フェニレフリン,高,重篤な血圧上昇・不整脈のリスク,,,
フェニレフリン,ベータ遮断薬,中,血圧上昇・心拍数の変動,,,
ジゴキシン,フェニレフリン,中,ジゴキシン中毒のリスク増加,,,
アルコール,マレイン酸クロルフェニラミン,中,眠気・注意力低下の増強,,,
アルコール,マレイン酸カルビノキサミン,中,眠気・注意力低下の増強,,,
アルコール,フマル酸クレマスチン,中,眠気・注意力低下の増強,,,
アルコール,塩酸プロメタジン,高,重篤な眠気・呼吸抑制のリスク,,,
ベンゾジアゼピン,塩酸プロメタジン,高,重篤な眠気・呼吸抑制のリスク,,,
オピオイド,塩酸プロメタジン,高,重篤な呼吸抑制のリスク,,,
MAO阻害薬,塩酸トリメトキノール,中,血圧上昇のリスク増加,,,
MAO阻害薬,塩酸メトキシフェナミン,中,血圧上昇のリスク増加,,,
MAO阻害薬,塩酸メチルエフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
ベンゾジアゼピン,硫酸アトロピン,中,眠気・注意力低下の増強,,,
オピオイド,硫酸アトロピン,中,便秘・排尿困難の増強,,,
ベンゾジアゼピン,臭化ブチルスコポラミン,低,眠気の軽度増強,,,
オピオイド,臭化ブチルスコポラミン,低,便秘の軽度増強,,,
アルコール,塩酸パパベリン,低,眠気の軽度増強,,,
アルコール,塩酸ジフェンヒドラミン,中,眠気・注意力低下の増強,,,
アスピリン,セトラキサート塩酸塩,中,攻撃因子の両面に作用することにより胃粘膜病変を治癒させる薬剤である。 18.2 各種実験胃粘膜病変に対する作用 幽門部結紮 2) 、ストレス、エチルアルコール、アスピリン 2) 、インドメタシン、フェニルブタゾン 2) 、セロトニン、セロトニン・タウロコール酸塩(胆汁酸塩)等によるラット実験急性胃炎・胃潰瘍、発癌剤MNNGによるラット実験急・慢性胃炎、酢酸、クランピング・コルチゾン等のラット実験慢性潰瘍で予防・治癒効果が認められている。 18.3 胃粘膜微小循環の改善作用 ラ,PMDA iyakuSearch,,
アスピリン,水酸化マグネシウム,中,"瘍患者において、潰瘍部位への付着が観察された 11) , 12) 。 18.4 抗胃粘膜病変・抗潰瘍作用 ラットにおける塩酸-エタノール、エタノール、幽門結紮-アスピリン等の壊死性物質及びストレス(水浸拘束)による胃粘膜病変、潰瘍に対して抗胃粘膜病変、抗潰瘍作用が認められた 13) , 14) , 15) 。 18.5 生物学的同等性試験 18.5.1 制酸作用 マックメット懸濁用配合DSとマーロックス(液剤)の制酸作用について、日局一般試験法「制酸力試験法」に基づく試験によ",PMDA iyakuSearch,,
ジゴキシン,水酸化マグネシウム,中,剤の効果を減弱させることがあるので、同時に服用させないなど慎重に投与すること。 キレートを形成し、これらの薬剤の吸収が阻害されると考えられる。 ジギタリス製剤 ジゴキシン等 これらの併用薬剤の効果を減弱させることがあるので、同時に服用させないなど慎重に投与すること。 消化管内で本剤と吸着することにより、これらの薬剤の吸収が阻害されると考えられる。 甲状腺ホルモン剤 レボチロキシンナトリウム水和物等 これらの併用薬剤の効果を減弱させることがあるので、同時に服用させないなど慎重に,PMDA iyakuSearch,,
アスピリン,沈降炭酸カルシウム,中,1 ) カンゾウを配合するため、長期連用により発現することがある。 14. 適用上の注意 14.1 薬剤調製時の注意 本剤は炭酸水素ナトリウムを含有するため、アスピリン、グルクロノラクトン、アスコルビン酸、イソニアジド、アスパラギン酸塩、ヒドララジン塩酸塩等と配合しないこと。配合した場合、湿潤、色調に変化を起こすことがある。 18. 薬効薬理 18.1 作用機序 18.1.1 炭酸水素ナトリウム、炭酸マグネシウム、沈降炭酸カルシウム 炭酸水素ナトリウムは速効性の制酸作用を示,PMDA iyakuSearch,,
