製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件,pmda_薬効分類,pmda_リスク区分
ナリピタン,原沢製薬工業,指定第2類,精神障害,体力虚弱で、冷え症で貧血の傾向があり疲労しやすく、ときに下腹部痛、頭重、めまい、肩こり、耳鳴り、動悸などを訴えるものの次の諸症:月経不順、月経異常、月経痛、更年期障害、産前産後あるいは流産による障害(貧血、疲労倦怠、めまい、むくみ)、めまい・立ちくらみ、頭重、肩こり、腰痛、足腰の冷え症、しもやけ、むくみ、しみ、耳鳴り,成人(15歳以上)  1回  4錠 15歳未満7歳以上  1回  3錠  7歳未満5歳以上  1回  2錠 1日3回 食前又は食間に水又は白湯で服用,15,"アミノ安息香酸エチル
アロエ末
カフェイン水和物
クロルフェニラミンマレイン酸塩
チアミン塩化物塩酸塩
ニコチン酸アミド
パパベリン塩酸塩
リボフラビン",禁止物質なし,,,,
雲仙散,摩耶堂製薬,指定第2類,筋肉痛,"腰痛,背痛,五十肩,筋肉痛,神経痛,関節炎,リウマチ",次の量を食間に水又はお湯で服用してください。  [年齢:1回量:1日服用回数] 成人:1包:3回 8歳〜15歳:1/2包:3回 4歳〜7歳:1/3包:3回 4歳未満:服用しないこと  ■服用時間を守りましょう。 食間:食後2〜3時間後の空腹時を指します。,[年齢:1回量:1日服用回数] 成人:1包:3回 8歳〜15歳:1/2包:3回 4歳〜7歳:1/3包:3回 4歳未満:服用しないこと  ■服用時間を守りましょう,"カッコン
カンゾウ
キョウニン
ケイヒ
シャクヤク
ショウキョウ
ソウジュツ
タイソウ
ダイオウ
トウニン
ブクリョウ
ボウイ
ボウフウ
ボタンピ
マオウ
ヨクイニン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が1ミリリットルにつき10マイクログラムを超える場合には、禁止する,,
ニコレット,JNTLコンシューマーヘルス,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき,1回1個をゆっくりと間をおきながら,30〜60分間かけてかむ。1日の使用個数は表を目安とし,通常,1日4〜12個から始めて適宜増減するが,1日の総使用個数は24個を超えないこと。禁煙になれてきたら(1ヵ月前後),1週間ごとに1日の使用個数を1〜2個ずつ減らし,1日の使用個数が1〜2個となった段階で使用をやめる。なお,使用期間は3ヵ月をめどとする。  [1回量:1日最大使用個数:使用開始時の1日の使用個数の目安(禁煙前の1日の喫煙本数):使用開始時の1日の使用個数の目安(1日の使用個数)] 1個:24個:20本以下:4〜6個 1個:24個:21〜30本:6〜9個 1個:24個:31本以上:9〜12個",,ニコチン,禁止物質なし,,,,
ニコチネルパッチ10,Haleonジャパン,第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、1回1個をゆっくりと間をおきながら、30~60分間かけてかむ
1日の使用個数は次記を目安とし、通常、1日4~12個から始めて適宜増減するが、1日の総使用個数は24個を超えないこと
禁煙になれてきたら(1カ月前後)、1週間ごとに1日の使用個数を1~2個ずつ減らし、1日の使用個数が1~2個となった段階で使用をやめる
なお、使用期間は3カ月をめどとする
1回量:1個
1日最大使用個数:24個
使用開始時の1日の使用個数の目安
禁煙前の1日の喫煙本数20本以下の場合:1日4~6個使用
禁煙前の1日の喫煙本数21~30本の場合:1日6~9個使用
禁煙前の1日の喫煙本数31本以上の場合:1日9~12個使用
<用法・用量に関連する注意>
1.タバコを吸うのを完全に止めて使用すること
2.1回に2個以上かまないこと(ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがある)
3.辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませること
4.本剤はガム製剤であるので飲み込まないことまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがあるので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意すること
5.コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないこと(本剤の十分な効果が得られないことがある)
7.口内に使用する吸入剤やスプレー剤とは同時に使用しないこと(口内・のどの刺激感、のどの痛みなどの症状を悪化させることがある)",,ニコチン,禁止物質なし,,,,
ニコチネルスペアミント,Haleonジャパン,指定第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、1回1個をゆっくりと間をおきながら、30~60分間かけてかみます
1日の使用個数は次記を目安とし、通常、1日4~12個から始めて適宜増減しますが、1日の総使用個数は24個を超えないでください
禁煙になれてきたら(1カ月前後)、1週間ごとに1日の使用個数を1~2個ずつ減らし、1日の使用個数が1~2個となった段階で使用をやめます
なお、使用期間は3カ月をめどとします
1回量:1個
1日最大使用個数:24個
使用開始時の1日の使用個数の目安
禁煙前の1日の喫煙本数20本以下の場合:1日4~6個使用
禁煙前の1日の喫煙本数21~30本の場合:1日6~9個使用
禁煙前の1日の喫煙本数31本以上の場合:1日9~12個使用
<用法・用量に関する注意>
1.タバコを吸うのを完全に止めて使用してください
2.1回に2個以上かまないでください(ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります)
3.辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
4.本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
5.コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください(本剤の十分な効果が得られないことがあります)
5.口内に使用する吸入剤やスプレー剤とは同時に使用しないでください(口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります)",,ニコチン,禁止物質なし,,,,
ニコチネルマンゴー,Haleonジャパン,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、1回1個をゆっくりと間をおきながら、30~60分間かけてかみます
1日の使用個数は次記を目安とし、通常、1日4~12個から始めて適宜増減しますが、1日の総使用個数は24個を超えないでください
禁煙になれてきたら(1カ月前後)、1週間ごとに1日の使用個数を1~2個ずつ減らし、1日の使用個数が1~2個となった段階で使用をやめます
なお、使用期間は3カ月をめどとします
1回量:1個
1日最大使用個数:24個
使用開始時の1日の使用個数の目安
禁煙前の1日の喫煙本数20本以下の場合:1日4~6個使用
禁煙前の1日の喫煙本数21~30本の場合:1日6~9個使用
禁煙前の1日の喫煙本数31本以上の場合:1日9~12個使用
<用法・用量に関する注意>
1.タバコを吸うのを完全に止めて使用してください
2.1回に2個以上かまないでください(ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります)
3.辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
4.本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
5.コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください(本剤の十分な効果が得られないことがあります)
6.口内に使用する吸入剤やスプレー剤とは同時に使用しないでください(口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります)",,ニコチン,禁止物質なし,,,,
加香ヒマシ油,健栄製薬,第2類,胃腸薬,腸内容物の急速な排除(食あたり等),"本剤は,次の用量を1日1回を限度として,必要時,そのまま又は水,牛乳などに浮かべて服用してください。 大人(15歳以上):20mL 11歳以上15歳未満:13mL 7歳以上11歳未満:10mL 3歳以上7歳未満:6mL  (添付のコップは10mLです。)",,ヒマシ油,禁止物質なし,,,,
乙字湯,東洋漢方製薬,第2類,胃腸薬,"大便がかたくて便秘傾向のあるものの次の諸症:痔核(いぼ痔),きれ痔,便秘","1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮詰め,紙袋とともに煎じかすを取り去り,大人(15才以上)は,食前1時間前又は食間空腹時に温服して下さい。小人(15才未満4才以上)は,空腹時に温服して下さい。  [年齢:1包(1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3回〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満4才以上:1/2量:3回に分けて 4才未満2才以上:1/3量:3回に分けて 2才未満:1/4量以下:3回に分けて",,"オウゴン
カンゾウ
サイコ
ショウマ
ダイオウ
トウキ",禁止物質なし,,,,
桂枝茯苓湯,東洋漢方製薬,第2類,筋肉痛,"比較的体力があり,ときに下腹部痛,肩こり,頭重,めまい,のぼせて足冷えなどを訴える次の諸症:月経不順,月経異常,月経痛,更年期障害,血の道症,肩こり,めまい,頭重,打ち身(打撲症),しもやけ,しみ","大人(15才以上)は1包(1日量)につき水400mLを加えあまり強くない火にかけ200mLに煮つめ,紙袋とともに煎じかすを取り去り,食前1時間前又は食間空腹時に温服して下さい。小人(15才未満7才以上)は同様に煎じて食間空腹時に温服して下さい。  [年齢:1包(1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満:服用しないこと",1日量)煎じ液:1日服用回数] 大人(15才以上):全量:3〜2回に分けて 15才未満7才以上:2/3量:3回に分けて 7才未満:服用しないこと,"ケイヒ
シャクヤク
トウニン
ブクリョウ
ボタンピ",禁止物質なし,,,,
ケイブク(顆粒),東洋漢方製薬,第2類,筋肉痛,"比較的体力があり,ときに下腹部痛,肩こり,頭重,めまい,のぼせて足冷えなどを訴える次の諸症:月経不順,月経異常,月経痛,更年期障害,血の道症,肩こり,めまい,頭重,打ち身(打撲症),しもやけ,しみ",次の量を食間又は空腹時に水又は温湯にて服用して下さい。  [年齢:1回量:1日服用回数] 大人(15才以上):1包:3回 15才未満7才以上:2/3包:3回 7才未満:服用しないこと,[年齢:1回量:1日服用回数] 大人(15才以上):1包:3回 15才未満7才以上:2/3包:3回 7才未満:服用しないこと,"ケイヒ
ケイヒ末
シャクヤク
シャクヤク末
トウニン
トウニン末
ブクリョウ
ブクリョウ末
ボタンピ
ボタンピ末",禁止物質なし,,,,
