成分A,成分B,相互作用レベル,説明,出典,pmda_updated_at,interaction_id
ACE阻害薬,アスピリン,中,腎機能障害のリスク増加,,,
ジクロフェナク,リチウム,中,リチウム中毒のリスク増加,,,
カフェイン,テオフィリン,中,テオフィリン中毒のリスク増加,,,
カフェイン,リチウム,低,リチウムの効果減弱,,,
MAO阻害薬,エフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
エフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動,,,
エフェドリン,ジゴキシン,中,ジゴキシン中毒のリスク増加,,,
MAO阻害薬,プソイドエフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
プソイドエフェドリン,ベータ遮断薬,中,血圧上昇・心拍数の変動,,,
ジゴキシン,プソイドエフェドリン,中,ジゴキシン中毒のリスク増加,,,
アルコール,クロルフェニラミン,中,眠気・注意力低下の増強,,,
クロルフェニラミン,ベンゾジアゼピン,中,眠気・注意力低下の増強,,,
オピオイド,クロルフェニラミン,中,呼吸抑制のリスク増加,,,
アルコール,ジフェンヒドラミン,中,眠気・注意力低下の増強,,,
ジフェンヒドラミン,ベンゾジアゼピン,中,眠気・注意力低下の増強,,,
オピオイド,ジフェンヒドラミン,中,呼吸抑制のリスク増加,,,
ケトコナゾール,ロラタジン,中,ロラタジンの血中濃度上昇,,,
ケトコナゾール,セチリジン,中,セチリジンの血中濃度上昇,,,
アルコール,フマル酸ケトチフェン,低,眠気の軽度増強,,,
アルコール,オキサトミド,低,眠気の軽度増強,,,
ベクロメタゾン,ワーファリン,低,出血リスクの軽度増加,,,
フルチカゾン,ワーファリン,低,出血リスクの軽度増加,,,
モメタゾン,ワーファリン,低,出血リスクの軽度増加,,,
MAO阻害薬,オキシメタゾリン,中,血圧上昇のリスク増加,,,
オキシメタゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク,,,
MAO阻害薬,ナファゾリン,中,血圧上昇のリスク増加,,,
ナファゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク,,,
MAO阻害薬,テトラヒドロゾリン,中,血圧上昇のリスク増加,,,
テトラヒドロゾリン,ベータ遮断薬,低,血圧上昇の軽度リスク,,,
MAO阻害薬,トラマドール,高,重篤な副作用・セロトニン症候群のリスク,,,
SSRI,トラマドール,高,セロトニン症候群のリスク増加,,,
SNRI,トラマドール,高,セロトニン症候群のリスク増加,,,
MAO阻害薬,コデイン,高,重篤な副作用・セロトニン症候群のリスク,,,
SSRI,コデイン,高,セロトニン症候群のリスク増加,,,
SNRI,コデイン,高,セロトニン症候群のリスク増加,,,
MAO阻害薬,ジヒドロコデイン,高,重篤な副作用・セロトニン症候群のリスク,,,
SSRI,ジヒドロコデイン,高,セロトニン症候群のリスク増加,,,
SNRI,ジヒドロコデイン,高,セロトニン症候群のリスク増加,,,
SNRI,デキストロメトルファン,中,セロトニン症候群のリスク増加,,,
グアイフェネシン,ワーファリン,低,出血リスクの軽度増加,,,
ブロムヘキシン,ワーファリン,低,出血リスクの軽度増加,,,
アンブロキソール,ワーファリン,低,出血リスクの軽度増加,,,
カルボシステイン,ワーファリン,低,出血リスクの軽度増加,,,
アセチルシステイン,ワーファリン,低,出血リスクの軽度増加,,,
MAO阻害薬,メチルエフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
ベータ遮断薬,メチルエフェドリン,中,血圧上昇・心拍数の変動,,,
ジゴキシン,メチルエフェドリン,中,ジゴキシン中毒のリスク増加,,,
MAO阻害薬,フェニレフリン,高,重篤な血圧上昇・不整脈のリスク,,,
フェニレフリン,ベータ遮断薬,中,血圧上昇・心拍数の変動,,,
ジゴキシン,フェニレフリン,中,ジゴキシン中毒のリスク増加,,,
アルコール,マレイン酸クロルフェニラミン,中,眠気・注意力低下の増強,,,
アルコール,マレイン酸カルビノキサミン,中,眠気・注意力低下の増強,,,
アルコール,フマル酸クレマスチン,中,眠気・注意力低下の増強,,,
アルコール,塩酸プロメタジン,高,重篤な眠気・呼吸抑制のリスク,,,
ベンゾジアゼピン,塩酸プロメタジン,高,重篤な眠気・呼吸抑制のリスク,,,
オピオイド,塩酸プロメタジン,高,重篤な呼吸抑制のリスク,,,
MAO阻害薬,塩酸トリメトキノール,中,血圧上昇のリスク増加,,,
MAO阻害薬,塩酸メトキシフェナミン,中,血圧上昇のリスク増加,,,
MAO阻害薬,塩酸メチルエフェドリン,高,重篤な血圧上昇・不整脈のリスク,,,
ベンゾジアゼピン,硫酸アトロピン,中,眠気・注意力低下の増強,,,
オピオイド,硫酸アトロピン,中,便秘・排尿困難の増強,,,
ベンゾジアゼピン,臭化ブチルスコポラミン,低,眠気の軽度増強,,,
オピオイド,臭化ブチルスコポラミン,低,便秘の軽度増強,,,
アルコール,塩酸パパベリン,低,眠気の軽度増強,,,
アルコール,塩酸ジフェンヒドラミン,中,眠気・注意力低下の増強,,,
アスピリン,イブプロフェンピコノール,高,出血リスク増加・胃腸障害の悪化,PMDA-derived catalog expansion,,
アスピリンアルミニウム,イブプロフェン,高,出血リスク増加・胃腸障害の悪化,PMDA-derived catalog expansion,,
アスピリンアルミニウム,イブプロフェンピコノール,高,出血リスク増加・胃腸障害の悪化,PMDA-derived catalog expansion,,
イブプロフェンピコノール,リチウム,中,リチウム中毒のリスク増加,PMDA-derived catalog expansion,,
アセトアミノフェン,エチルアルコール,中,肝障害のリスク増加,PMDA-derived catalog expansion,,
アセトアミノフェン,ステアリルアルコール,中,肝障害のリスク増加,PMDA-derived catalog expansion,,
