成分名,副作用レベル,副作用症状,禁忌条件,出典
イブプロフェン,中,胃腸障害・胃痛・吐き気,胃潰瘍の既往・胃腸障害の既往,
アセトアミノフェン,高,発疹、ショック、吐、下痢、肝,肝機能障害・重篤な肝疾患,
アスピリン,高,胃腸障害・出血傾向・アレルギー,胃潰瘍・出血性疾患・アスピリン喘息,
ロキソプロフェン,高,眠気、発疹、ショック、胃、吐,胃潰瘍の既往・重篤な心疾患,
ジクロフェナク,高,発疹、ショック、胃、吐、肝,胃潰瘍・肝機能障害・腎機能障害,
メフェナム酸,高,眠気、発疹、ショック、胃、吐,胃潰瘍の既往・重篤な心疾患,
エテンザミド,低,胃腸障害・発疹,胃潰瘍の既往,
カフェイン,低,不眠・動悸・めまい,心疾患・高血圧・不眠症,
エフェドリン,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
プソイドエフェドリン,中,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
クロルフェニラミン,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,
ジフェンヒドラミン,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,
ロラタジン,低,眠気・頭痛・めまい,重篤な肝疾患,
セチリジン,低,眠気・口渇・めまい,重篤な腎疾患,
フマル酸ケトチフェン,低,眠気・口渇・めまい,重篤な肝疾患,
オキサトミド,低,眠気・口渇・めまい,重篤な肝疾患,
ベクロメタゾン,中,鼻の刺激感・乾燥・出血,感染症・重篤な鼻疾患,
フルチカゾン,低,鼻の刺激感・乾燥・出血,感染症・重篤な鼻疾患,
モメタゾン,低,鼻の刺激感・乾燥・出血,感染症・重篤な鼻疾患,
オキシメタゾリン,中,鼻の刺激感・乾燥・リバウンド,高血圧・心疾患・甲状腺機能亢進症,
ナファゾリン,中,鼻の刺激感・乾燥・リバウンド,高血圧・心疾患・甲状腺機能亢進症,
テトラヒドロゾリン,中,鼻の刺激感・乾燥・リバウンド,高血圧・心疾患・甲状腺機能亢進症,
トラマドール,高,眠気・めまい・吐き気・便秘,重篤な呼吸抑制・重篤な肝疾患,
コデイン,高,眠気・めまい・吐き気・便秘,重篤な呼吸抑制・重篤な肝疾患,
ジヒドロコデイン,高,眠気・めまい・吐き気・便秘,重篤な呼吸抑制・重篤な肝疾患,
デキストロメトルファン,低,眠気・めまい・吐き気,重篤な呼吸抑制,
グアイフェネシン,低,胃腸障害・めまい,重篤な肝疾患,
ブロムヘキシン,低,胃腸障害・発疹・めまい,重篤な肝疾患,
アンブロキソール,低,胃腸障害・発疹・めまい,重篤な肝疾患,
カルボシステイン,低,胃腸障害・発疹・めまい,重篤な肝疾患,
アセチルシステイン,低,胃腸障害・発疹・めまい,重篤な肝疾患,
メチルエフェドリン,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
フェニレフリン,中,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
塩酸プソイドエフェドリン,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
マレイン酸クロルフェニラミン,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,
マレイン酸カルビノキサミン,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,
フマル酸クレマスチン,中,眠気・口渇・めまい,緑内障・前立腺肥大・重篤な肝疾患,
塩酸プロメタジン,高,眠気・口渇・めまい・体重増加,緑内障・前立腺肥大・重篤な肝疾患,
塩酸トリメトキノール,中,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
塩酸メトキシフェナミン,中,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
塩酸メチルエフェドリン,高,動悸・不眠・血圧上昇,高血圧・心疾患・甲状腺機能亢進症,
硫酸アトロピン,高,口渇・便秘・排尿困難・めまい,緑内障・前立腺肥大・重篤な心疾患,
