product_name,manufacturer,medicine_type,recommendation_count,slug,matsukiyo_jan,matsukiyo_name,source_image_url,r2_url,status,note
カロナールＡ,第一三共ヘルスケア,解熱鎮痛薬,795,カロナールA,4987107634115,カロナールＡ １２錠 第一三共ヘルスケア 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987107634115_01_7ec33082a85ac55750d6c9dfe6f62b15.jpg,https://images.yutok.dev/otc/カロナールA.webp,uploaded,query=カロナールＡ 第一三共
トキワイブプロエースＡ,常盤薬品工業,解熱鎮痛薬,790,トキワイブプロエースA,,,,,not_found,matsukiyo search: no match
タイレノールＡ,東亜薬品,解熱鎮痛薬,518,タイレノールA,4987910002705,タイレノールＡＳ ３０錠 アリナミン製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987910002705_01_37e548414abd87ea7cec2d4c43f5d67b.jpg,https://images.yutok.dev/otc/タイレノールA.webp,uploaded,query=タイレノールＡ
イブロックフィルムプラスター,帝國製薬,外用薬（皮膚）,260,イブロックフィルムプラスター,4987373080760,matsukiyo イブロックフィルムプラスター ３０枚 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987373080760_01_d796762c140f5bc982a50b8ee0b497e6.jpg,https://images.yutok.dev/otc/イブロックフィルムプラスター.webp,uploaded,query=イブロックフィルムプラスター 帝國
スカイブブロンのどスプレー,福地製薬,外用薬（のど）,197,スカイブブロンのどスプレー,,,,,not_found,matsukiyo search: no match
イブロック冷感Ｓ,帝國製薬,外用薬（皮膚）,152,イブロック冷感S,,,,,not_found,matsukiyo search: no match
リビメックスコーワクリーム,興和,外用薬（皮膚）,126,リビメックスコーワクリーム,4987973132432,新リビメックスコーワＷ軟膏 １５ｇ 興和 【指定第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987973132432_01_67e9e8845597d51f5076b82750bc9b31.jpg,https://images.yutok.dev/otc/リビメックスコーワクリーム.webp,uploaded,query=リビメックスコーワクリーム 興和
タクトプラスローション,佐藤製薬,外用薬（皮膚）,126,タクトプラスローション,4987316015071,タクトプラスクリーム ２０ｇ 佐藤製薬 【指定第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987316015071_01_f08d666c09654f607bd9ce50a85f8fab.jpg,https://images.yutok.dev/otc/タクトプラスローション.webp,uploaded,query=タクトプラスローション 佐藤
サロンパス３０,久光製薬,外用薬（皮膚）,123,サロンパス30,4987188171172,ら・サロンパス ３０枚 久光製薬 【第3類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987188171172_01_4af2e2535844e1eecaa2dcf165eab988.jpg,https://images.yutok.dev/otc/サロンパス30.webp,uploaded,query=サロンパス３０ 久光
マキセリン「コタロー」,小太郎漢方製薬,風邪薬,119,マキセリンコタロー,,,,,not_found,matsukiyo search: no match
イブプロフェン錠２００Ｓ,奥田製薬,解熱鎮痛薬,118,イブプロフェン錠200S,,,,,not_found,matsukiyo search: no match
ベンザブロックトローチ,アリナミン製薬,風邪薬,116,ベンザブロックトローチ,4987123139588,ベンザブロックトローチ ２４錠 アリナミン製薬 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987123139588_01_d8df7032c6090f742a4740f4b8ca881c.jpg,https://images.yutok.dev/otc/ベンザブロックトローチ.webp,uploaded,query=ベンザブロックトローチ アリナミン
新エスベナントローチ,日野薬品工業,風邪薬,115,新エスベナントローチ,,,,,not_found,matsukiyo search: no match
イブプロフェンソフトカプセル２００「キョーワ」,協和薬品工業,解熱鎮痛薬,108,イブプロフェンソフトカプセル200キョーワ,,,,,not_found,matsukiyo search: no match
トピックＧトローチ,日新薬品工業,風邪薬,106,トピックGトローチ,,,,,not_found,matsukiyo search: no match
デーチカ,剤盛堂薬品,外用薬（皮膚）,92,デーチカ,,,,,not_found,matsukiyo search: no match
キップパイロール－Ｈｉ,キップ薬品,外用薬（皮膚）,75,キップパイロール-Hi,4987315001402,キップパイロール－Ｈｉ ４０ｇ キップ薬品 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987315001402_01_bbd4335b5e85443a5780a075bf2e48b3.jpg,https://images.yutok.dev/otc/キップパイロール-Hi.webp,uploaded,query=キップパイロール－Ｈｉ キップ
オリブ油「タイセイ」Ｐ,大成薬品工業,外用薬（皮膚）,75,オリブ油タイセイP,,,,,not_found,matsukiyo search: no match
クールスロート,協和新薬,外用薬（皮膚）,75,クールスロート,,,,,not_found,matsukiyo search: no match
ザッツ錠,武田コンシューマーヘルスケア,胃腸薬,66,ザッツ錠,,,,,not_found,matsukiyo search: no match
角野龍雲湯,角野製薬所,鼻炎用薬,63,角野龍雲湯,,,,,not_found,matsukiyo search: no match
東洋漢方の小青龍湯,東洋漢方製薬,鼻炎用薬,63,東洋漢方の小青龍湯,,,,,not_found,matsukiyo search: no match
新キャベジンコーワＳ,興和,胃腸薬,63,新キャベジンコーワS,4987067267408,新キャベ2コーワ ３０包 興和 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987067267408_01_eb7a577d9c81730451f99a9215149c14.jpg,https://images.yutok.dev/otc/新キャベジンコーワS.webp,uploaded,query=新キャベジンコーワＳ 興和
富士はら薬「赤玉」,富士薬品,胃腸薬,63,富士はら薬赤玉,,,,,not_found,matsukiyo search: no match
高砂オウレン,高砂薬業,胃腸薬,63,高砂オウレン,,,,,not_found,matsukiyo search: no match
高砂オウレン末,高砂薬業,胃腸薬,63,高砂オウレン末,,,,,not_found,matsukiyo search: no match
大柴胡湯,東洋漢方製薬,胃腸薬,63,大柴胡湯,4987045043369,大柴胡湯エキス顆粒クラシエ ４５包 クラシエ薬品 【第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987045043369_01_eb7a577d9c81730451f99a9215149c14.jpg,https://images.yutok.dev/otc/大柴胡湯.webp,uploaded,query=大柴胡湯 東洋漢方
グリセリン浣腸Ａ１０,ムネ製薬,胃腸薬,63,グリセリン浣腸A10,,,,,not_found,matsukiyo search: no match
スースカット浣腸１０,ムネ製薬,胃腸薬,63,スースカット浣腸10,,,,,not_found,matsukiyo search: no match
リビメックスコーワローション,興和,外用薬（皮膚）,63,リビメックスコーワローション,4987973113837,新リビメックスコーワローション １５ｇ 興和 【指定第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987973113837_01_ace5330774b51b949f3be45774366449.jpg,https://images.yutok.dev/otc/リビメックスコーワローション.webp,uploaded,query=リビメックスコーワローション 興和
胃健錠,龍角散,胃腸薬,63,胃健錠,,,,,not_found,matsukiyo search: no match
ベトノバールＳクリーム,佐藤製薬,外用薬（皮膚）,63,ベトノバールSクリーム,4987316026077,ベトノバールＳクリーム ５ｇ 佐藤製薬 【指定第2類医薬品】,https://www.matsukiyococokara-online.com/store/media/catalog/product/4/9/4987316026077_01_6cdc8b7f7046b5582a36f4ca99c91bdd.jpg,https://images.yutok.dev/otc/ベトノバールSクリーム.webp,uploaded,query=ベトノバールＳクリーム 佐藤
キンカンＡＬ錠,セントラル製薬,外用薬（皮膚）,63,キンカンAL錠,,,,,not_found,matsukiyo search: no match
