製品名,メーカー名,分類,医薬品の種類,効能効果,用法用量,年齢制限,成分,禁止物質あり,競技会区分,条件
ナリピタン,原沢製薬工業,指定第2類,精神障害,耳鳴症、皮ふ炎、蕁麻疹、にきび、吹出物、肩こり,"次の量を食後に水又はお湯で服用してください
大人（１５歳以上）：１回２～３錠
１日３回服用
１５歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．定められた用法・用量を厳守すること
２．吸湿しやすいため、服用のつどキャップをしっかりしめること
１５歳未満は服用しないこと",15,"アミノ安息香酸エチル
アロエ末
カフェイン水和物
クロルフェニラミンマレイン酸塩
チアミン塩化物塩酸塩
ニコチン酸アミド
パパベリン塩酸塩
リボフラビン",禁止物質なし,,
雲仙散,摩耶堂製薬,指定第2類,筋肉痛,腰痛、背痛、五十肩、筋肉痛、神経痛、関節炎、リウマチ,"次の量を食間に水又はお湯で服用してください
成人：１回１包
８歳～１５歳：１回１／２包
４歳～７歳：１回１／３包
１日３回服用
４歳未満：服用しないこと
服用時間を守りましょう
＜食間＞食後２～３時間後の空腹時を指します
＜用法・用量に関連する注意＞
１．用法・用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください",4,"カッコン
カンゾウ
キョウニン
ケイヒ
シャクヤク
ショウキョウ
ソウジュツ
タイソウ
ダイオウ
トウニン
ブクリョウ
ボウイ
ボウフウ
ボタンピ
マオウ
ヨクイニン",禁止物質あり,S6. 興奮剤,エフェドリン及びメチルエフェドリンは、それぞれの尿中の濃度が１ミリリットルにつき１０マイクログラムを超える場合には、禁止する
ニコレット,ＪＮＴＬコンシューマーヘルス,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかむ
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減するが、１日の総使用個数は２４個を超えないこと
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめる
なお、使用期間は３カ月をめどとする
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関連する注意＞
１．タバコを吸うのを完全に止めて使用すること
２．１回に２個以上かまないこと（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがある）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませること
４．本剤はガム製剤であるので飲み込まないことまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがあるので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意すること
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないこと（本剤の十分な効果が得られないことがある）
６．口内に使用する吸入剤やスプレー剤とは同時に使用しないこと（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがある）",,ニコチン,禁止物質なし,,
ニコチネルパッチ１０,Ｈａｌｅｏｎジャパン,第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかむ
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減するが、１日の総使用個数は２４個を超えないこと
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめる
なお、使用期間は３カ月をめどとする
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関連する注意＞
１．タバコを吸うのを完全に止めて使用すること
２．１回に２個以上かまないこと（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがある）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませること
４．本剤はガム製剤であるので飲み込まないことまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがあるので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意すること
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないこと（本剤の十分な効果が得られないことがある）
７．口内に使用する吸入剤やスプレー剤とは同時に使用しないこと（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがある）",,ニコチン,禁止物質なし,,
ニコチネルスペアミント,Ｈａｌｅｏｎジャパン,指定第1類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかみます
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減しますが、１日の総使用個数は２４個を超えないでください
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめます
なお、使用期間は３カ月をめどとします
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関する注意＞
１．タバコを吸うのを完全に止めて使用してください
２．１回に２個以上かまないでください（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
４．本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください（本剤の十分な効果が得られないことがあります）
５．口内に使用する吸入剤やスプレー剤とは同時に使用しないでください（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります）",,ニコチン,禁止物質なし,,
ニコチネルマンゴー,Ｈａｌｅｏｎジャパン,指定第2類,禁煙補助薬,禁煙時のイライラ・集中困難・落ち着かないなどの症状の緩和,"タバコを吸いたいと思ったとき、１回１個をゆっくりと間をおきながら、３０～６０分間かけてかみます
１日の使用個数は次記を目安とし、通常、１日４～１２個から始めて適宜増減しますが、１日の総使用個数は２４個を超えないでください
禁煙になれてきたら（１カ月前後）、１週間ごとに１日の使用個数を１～２個ずつ減らし、１日の使用個数が１～２個となった段階で使用をやめます
なお、使用期間は３カ月をめどとします
１回量：１個
１日最大使用個数：２４個
使用開始時の１日の使用個数の目安
禁煙前の１日の喫煙本数２０本以下の場合：１日４～６個使用
禁煙前の１日の喫煙本数２１～３０本の場合：１日６～９個使用
禁煙前の１日の喫煙本数３１本以上の場合：１日９～１２個使用
＜用法・用量に関する注意＞
１．タバコを吸うのを完全に止めて使用してください
２．１回に２個以上かまないでください（ニコチンが過量摂取され、吐き気、めまい、腹痛などの症状が現れることがあります）
３．辛みや刺激感を感じたらかむのを止めて、ほほの内側などに寄せて休ませてください
４．本剤はガム製剤ですので飲み込まないでくださいまた、本剤が入れ歯などに付着し、脱落・損傷を起こすことがありますので、入れ歯などの歯科的治療を受けたことのある人は、使用に際して注意してください
５．コーヒーや炭酸飲料などを飲んだ後、しばらくは本剤を使用しないでください（本剤の十分な効果が得られないことがあります）
６．口内に使用する吸入剤やスプレー剤とは同時に使用しないでください（口内・のどの刺激感、のどの痛みなどの症状を悪化させることがあります）",,ニコチン,禁止物質なし,,
加香ヒマシ油,健栄製薬,第2類,胃腸薬,食あたり等,"本剤は、次記用量を１日１回を限度として、必要時、そのまま又は水、牛乳などに浮かべて服用してください
大人（１５歳以上）：２０ｍＬ
１１歳以上１５歳未満：１３ｍＬ
７歳以上１１歳未満：１０ｍＬ
３歳以上７歳未満：６ｍＬ
＜用法用量に関連する注意＞
１．用法用量を厳守してください
２．小児に服用させる場合には、保護者の指導監督のもとに服用させてください
３．就寝前の服用を避けてください",,ヒマシ油,禁止物質なし,,
乙字湯,東洋漢方製薬,第2類,胃腸薬,いぼ痔,"１包（１日量）につき水４００ｍＬを加えあまり強くない火にかけ２００ｍＬに煮詰め、紙袋とともに煎じかすを取り去り、大人（１５歳以上）は、食前１時間前又は食間空腹時に温服してください
小人（１５歳未満４歳以上）は、空腹時に温服してください
大人（１５歳以上）：１包（１日量）煎じ液全量
１日３回～２回に分けて服用
１５歳未満７歳以上：１包（１日量）煎じ液２／３量
７歳未満４歳以上：１包（１日量）煎じ液１／２量
４歳未満２歳以上：１包（１日量）煎じ液１／３量
２歳未満：１包（１日量）煎じ液１／４量以下
１日３回に分けて服用
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．１歳未満の乳児には、医師の診療を受けさせることを優先し、やむを得ない場合にのみ服用させること
３．用法・用量を厳守すること",,"オウゴン
カンゾウ
サイコ
ショウマ
ダイオウ
トウキ",禁止物質なし,,
桂枝茯苓湯,東洋漢方製薬,第2類,筋肉痛,打撲症,"大人（１５歳以上）は１包（１日量）につき水４００ｍＬを加えあまり強くない火にかけ２００ｍＬに煮つめ、紙袋とともに煎じかすを取り去り、食前１時間前又は食間空腹時に温服してください
小人（１５歳未満７歳以上）は同様に煎じて食間空腹時に温服してください
大人（１５歳以上）：１包（１日量）煎じ液全量
１日３～２回に分けて服用
１５歳未満７歳以上：１包（１日量）煎じ液２／３量
１日３回に分けて服用
７歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．用法・用量を厳守すること",7,"ケイヒ
シャクヤク
トウニン
ブクリョウ
ボタンピ",禁止物質なし,,
ケイブク（顆粒）,東洋漢方製薬,第2類,筋肉痛,打撲症,"次記の量を食間又は空腹時に水又は温湯にて服用してください
大人（１５歳以上）：１回１包
１５歳未満７歳以上：１回２／３包
１日３回服用
７歳未満：服用しないこと
＜用法・用量に関連する注意＞
１．小児に服用させる場合には、保護者の指導監督のもとに服用させること
２．用法・用量を厳守すること",7,"ケイヒ
ケイヒ末
シャクヤク
シャクヤク末
トウニン
トウニン末
ブクリョウ
ブクリョウ末
ボタンピ
ボタンピ末",禁止物質なし,,
