test_number,input,symptoms,rank,medicine_name
001,頭痛がします,"頭痛, 痛",1,大柴胡湯
001,頭痛がします,"頭痛, 痛",2,清風散
001,頭痛がします,"頭痛, 痛",3,ノーシンピュア《ピルケース》
002,頭が痛い,痛,1,雲仙散
002,頭が痛い,痛,2,ビトラックＳ
002,頭が痛い,痛,3,太田漢方胃腸薬Ⅱ
004,偏頭痛です,"頭痛, 痛",1,大柴胡湯
004,偏頭痛です,"頭痛, 痛",2,清風散
004,偏頭痛です,"頭痛, 痛",3,ノーシンピュア《ピルケース》
005,緊張性頭痛,"頭痛, 痛",1,大柴胡湯
005,緊張性頭痛,"頭痛, 痛",2,清風散
005,緊張性頭痛,"頭痛, 痛",3,ノーシンピュア《ピルケース》
006,発熱があります,"発熱, 熱",1,ハイゼリーロイヤル
006,発熱があります,"発熱, 熱",2,新ハイゼリーエースⅡ
006,発熱があります,"発熱, 熱",3,ヘパリーゼドリンクⅡ
007,熱が出ました,熱,1,ハイゼリーロイヤル
007,熱が出ました,熱,2,新ハイゼリーエースⅡ
007,熱が出ました,熱,3,ヘパリーゼドリンクⅡ
008,高熱です,熱,1,ハイゼリーロイヤル
008,高熱です,熱,2,新ハイゼリーエースⅡ
008,高熱です,熱,3,ヘパリーゼドリンクⅡ
009,微熱が続いています,熱,1,ハイゼリーロイヤル
009,微熱が続いています,熱,2,新ハイゼリーエースⅡ
009,微熱が続いています,熱,3,ヘパリーゼドリンクⅡ
011,咳が出ます,咳,1,清風散
011,咳が出ます,咳,2,ウチダの麻黄加朮湯
011,咳が出ます,咳,3,カンゾウいけだや
013,咳が続いています,咳,1,清風散
013,咳が続いています,咳,2,ウチダの麻黄加朮湯
013,咳が続いています,咳,3,カンゾウいけだや
014,痰が出ます,痰,1,ウチダの人参養栄湯
014,痰が出ます,痰,2,ウチダの麦門冬湯
014,痰が出ます,痰,3,角野龍雲湯
015,たんが絡みます,たん,1,清風散
015,たんが絡みます,たん,2,滋陰降火湯エキス細粒Ｇ「コタロー」
