製品名,Summarized Efficacy
エスタックイブ,かぜの諸症状（のどの痛み、悪寒、鼻水、鼻づまり、くしゃみ、発熱、頭痛、せき、たん、関節の痛み、筋肉の
エスタックイブ顆粒,かぜの諸症状（のどの痛み、悪寒、鼻水、鼻づまり、くしゃみ、発熱、頭痛、せき、たん、関節の痛み、筋肉の
新エスタック「Ｗ」,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、のどの痛み、関節の痛み、筋肉の痛み）
エスタック総合感冒,かぜの諸症状（のどの痛み、鼻水、鼻づまり、発熱、悪寒、頭痛、くしゃみ、せき、たん、関節の痛み、筋肉の
エスタックゴールドＡ錠,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、のどの痛み、関節の痛み、筋肉の
新エスタックイブエース顆粒,かぜの諸症状（発熱、鼻水、鼻づまり、のどの痛み、せき、悪寒、頭痛、くしゃみ、たん、関節の痛み、筋肉の
新エスタックイブエースカプセル,かぜの諸症状（発熱、鼻水、鼻づまり、のどの痛み、せき、悪寒、頭痛、くしゃみ、たん、関節の痛み、筋肉の
新エスタックイブエース,かぜの諸症状（発熱、鼻水、鼻づまり、のどの痛み、せき、悪寒、頭痛、くしゃみ、たん、関節の痛み、筋肉の
新エスタック顆粒,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、のどの痛み、関節の痛み、筋肉の痛み）
エスタックイブファイン,かぜの諸症状（発熱、悪寒、せき、たん、のどの痛み、鼻水、鼻づまり、くしゃみ、頭痛、関節の痛み、筋肉の
エスタックイブファイン顆粒,かぜの諸症状（発熱、悪寒、せき、たん、のどの痛み、鼻水、鼻づまり、くしゃみ、頭痛、関節の痛み、筋肉の
エスタックアルファ錠,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、のどの痛み、関節の痛み、筋肉の
新エスタックゴールド錠,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、のどの痛み、関節の痛み、筋肉の痛み）
エスタックイブＦＴ,かぜの諸症状（発熱、悪寒、のどの痛み、鼻水、鼻づまり、くしゃみ、せき、たん、頭痛、関節の痛み、筋肉の
新エスタックハイ顆粒,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、のどの痛み、関節の痛み、筋肉の痛み）
新エスタックエース顆粒,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、のどの痛み、関節の痛み、筋肉の痛み）
新エスタックＧＬ,かぜの諸症状（発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、のどの痛み、関節の痛み、筋肉の
エスタックイブＮＴ,かぜの諸症状（鼻水、鼻づまり、のどの痛み、くしゃみ、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
エスタックイブファインＥＸ,かぜの諸症状（のどの痛み、発熱、せき、鼻水、鼻づまり、たん、関節の痛み、筋肉の痛み、くしゃみ、悪寒、
エスタックイブＴＴ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
エスタックＥＸネオ,かぜの諸症状（のどの痛み、発熱、鼻水、鼻づまり、せき、たん、くしゃみ、悪寒、頭痛、関節の痛み、筋肉の
エスタック総合ＩＢ,かぜの諸症状（発熱、悪寒、のどの痛み、せき、たん、鼻水、鼻づまり、くしゃみ、頭痛、関節の痛み、筋肉の
改源かぜカプセル,かぜの諸症状（のどの痛み、発熱、頭痛、せき、たん、悪寒、関節の痛み、筋肉の痛み）の緩和。
新ハイピロガンＫ,かぜの諸症状（鼻水、鼻づまり、発熱、くしゃみ、のどの痛み、悪寒、頭痛、関節の痛み、筋肉の痛み）の緩和
カコナールゴールドＵＰ錠,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、せき、たん、鼻水、鼻づまり、くしゃみ、関節の痛み、筋肉の
救心のかぜ薬赤箱,かぜの諸症状（悪寒、発熱、頭痛、くしゃみ、のどの痛み、鼻みず、鼻づまり、せき、たん、関節の痛み、筋肉
オイヒ,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ハイカゼ顆粒α,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
クミアイ感冒ソフトカプセル,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
新カンボーエース,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ネオ真治ゴールドカプセル,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ハイカゼＥＶ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
コルゲンコーワＩＢ錠ＴＸ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、せき、たん、鼻水、鼻づまり、くしゃみ、関節の痛み、筋肉の
コルゲンコーワＩＢ２,かぜの諸症状（のどの痛み、発熱、鼻水、鼻づまり、くしゃみ、せき、たん、悪寒、頭痛、関節の痛み、筋肉の
コルゲンコーワＩＢ透明カプセルα,かぜの諸症状（発熱、せき、たん、のどの痛み、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、関節の痛み、筋肉の
コルゲンコーワＩＢ錠ＴＸα,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、せき、たん、鼻水、鼻づまり、くしゃみ、関節の痛み、筋肉の
コルゲンコーワＩＢ透明カプセルαプラス,かぜの諸症状（発熱、のどの痛み、せき、たん、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、関節の痛み、筋肉の
コルゲンコーワＬＸ錠,かぜの諸症状（発熱、のどの痛み、せき、たん、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、関節の痛み、筋肉の
エザックプラス,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
ヒストミンＶ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ビタクールＶ,かぜの諸症状（のどの痛み、発熱、悪寒、頭痛、鼻水、鼻づまり、くしゃみ、せき、たん、関節の痛み、筋肉の
ルキノンＫＢ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
アソシエ錠,かぜの諸症状（鼻水、鼻づまり、くしゃみ、のどの痛み、せき、たん、悪寒、発熱、頭痛、関節の痛み、筋肉の
